State,State_Population,Celebrity_Count
California,38965193,71
New York,19571216,46
Texas,30503301,24
Florida,22610726,19
Georgia,11029227,15
Illinois,12549689,15
Ohio,11785935,12
Pennsylvania,12961683,12
Michigan,10037261,9
New Jersey,9290841,9
Kentucky,4526154,8
Louisiana,4573749,8
Alabama,5108468,7
Connecticut,3617176,6
Maryland,6180253,6
Massachusetts,7001399,6
Virginia,8683619,6
Iowa,3207004,5
Mississippi,2939690,5
Hawaii,1435138,4
Indiana,6862199,4
Kansas,2940546,4
Missouri,6196156,4
North Carolina,10835491,4
South Carolina,5373555,4
Utah,3417734,4
Washington,7812880,4
Washington D.C.,678972,4
Arizona,7431344,3
Oregon,4233358,3
Arkansas,3067732,2
Colorado,5877610,2
Delaware,1031890,2
Maine,1395722,2
Minnesota,5737915,2
Nevada,3194176,2
New Mexico,2114371,2
Tennessee,7126489,2
Wisconsin,5910955,2
Alaska,733406,1
Nebraska,1978379,1
New Hamshire,1402054,1
Rhode Island,1095962,1
South Dakota,919318,1
West Virginia,1770071,1
